,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,card,self_thread,extended_entities
1387832426462916608,Thu Apr 29 18:13:29 +0000 2021,1387832426462916608,1387832426462916608,සුපිරි තිරිසන්නු,False,"[0, 16]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,822859724,822859724,,,,,True,1.3877254661409137e+18,1387725466140913667,"{'url': 'https://t.co/mhDrpuSZmd', 'expanded': 'https://twitter.com/Udayawickramar1/status/1387725466140913667', 'display': 'twitter.com/Udayawickramar…'}",0,0,0,0,1387832426462916608,1387832426462916608,False,False,si,,,,,,
1388179307546087424,Fri Apr 30 17:11:52 +0000 2021,1388179307546087424,1388179307546087424,@dulakshi_g සුපිරි කොල්ලෙක්ට කැත කෙල්ලෙක් 😌,False,"[12, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dulakshi_g', 'name': 'Lemon Puff (ලෙමන් පෆ්)🍋', 'id': 879621963618144256, 'id_str': '879621963618144256', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3879814817130947e+18,1387981481713094657,8.796219636181443e+17,879621963618144256,dulakshi_g,1342492580278272000,1342492580278272000,,,,,False,,,,0,2,0,0,1387981481713094657,1387981481713094657,False,False,si,,,,,,
1387454915824340995,Wed Apr 28 17:13:24 +0000 2021,1387454915824340995,1387454915824340995,"@GMNChamikara @Geeth__R ඔව් ඔව් ඇත්ත කතාව හදයියා වලින් ඒම බොක්කා සුපිරි ගේමක් ගහනවා අපේ සමහර අය අස්වැන්නේ අඩුවීම නෑ,ඒ පෝරවෙන වගාවලට දානවා පොල් ගස්ලබු වගේ ඒවාට",False,"[24, 158]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'GMNChamikara', 'name': '𝗡𝘂𝘄𝗮𝗻 𝗖𝗵𝗮𝗺𝗶𝗸𝗮𝗿𝗮', 'id': 2511466152, 'id_str': '2511466152', 'indices': [0, 13]}, {'screen_name': 'Geeth__R', 'name': 'මල් දන්සල 🌼', 'id': 949549091905826816, 'id_str': '949549091905826816', 'indices': [14, 23]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3874213141603615e+18,1387421314160361476,2511466152.0,2511466152,GMNChamikara,1187034942384926720,1187034942384926720,,,,,False,,,,0,1,0,0,1387405901896634371,1387405901896634371,False,False,si,,,,,,
1389096773554249729,Mon May 03 05:57:33 +0000 2021,1389096773554249729,1389096773554249729,අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්  https://t.co/AQgWlIT0n1,False,"[0, 79]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/AQgWlIT0n1', 'expanded_url': 'https://sinhala.srilankamirror.com/news/news-in-brief/28540-aluth-dagaya-gen-supiri', 'display_url': 'sinhala.srilankamirror.com/news/news-in-b…', 'indices': [56, 79]}]}","<a href=""http://www.joomunited.com/products/social-backlinks"" rel=""nofollow"">Social Backlinks publishing</a>",,,,,,213423172,213423172,,,,,False,,,,0,0,0,0,1389096773554249729,1389096773554249729,False,False,si,,False,True,"{'name': 'summary', 'url': 'https://t.co/AQgWlIT0n1', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'sinhala.srilankamirror.com', 'scribe_key': 'vanity_url'}, 'domain': {'type': 'STRING', 'string_value': 'sinhala.srilankamirror.com'}, 'title': {'type': 'STRING', 'string_value': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}, 'thumbnail_image_alt_text': {'type': 'STRING', 'string_value': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}, 'description': {'type': 'STRING', 'string_value': 'ශ්\u200dරී ලංකාව සහ බංග්ලාදේශය අතර පැවති දෙවැනි සහ අවසාන ටෙස්ට් තරඟයෙන් ලකුණු 209ක ජයක් ලැබීමට සත්කාරක ශ්\u200dරී ලංකා කණ්ඩායම සමත් විය. ජයග්\u200dරහණය සඳහා ලකුණු ලකුණු 437ක ඉලක්කයක් හඹාගිය සංචාරක බංග්ලාදේශය...'}, 'thumbnail_image_small': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1389096775068311553/9wRHd1_1?format=jpg&name=100x100_2', 'width': 100, 'height': 100, 'alt': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}}, 'thumbnail_image': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1389096775068311553/9wRHd1_1?format=jpg&name=144x144_2', 'width': 144, 'height': 144, 'alt': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}}, 'thumbnail_image_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1389096775068311553/9wRHd1_1?format=jpg&name=420x420_2', 'width': 332, 'height': 332, 'alt': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}}, 'thumbnail_image_x_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1389096775068311553/9wRHd1_1?format=png&name=2048x2048_2_exp', 'width': 570, 'height': 332, 'alt': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}}, 'thumbnail_image_original': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1389096775068311553/9wRHd1_1?format=jpg&name=orig', 'width': 570, 'height': 332, 'alt': 'අලුත් දඟයාගෙන් සුපිරි පන්දු යැවීමක් - ලංකාවට 209ක ජයක්\xa0'}}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/AQgWlIT0n1', 'scribe_key': 'card_url'}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",,
1388529744187035651,Sat May 01 16:24:23 +0000 2021,1388529744187035651,1388529744187035651,Twitter සුපිරි,False,"[0, 14]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3885297401605407e+18,1388529740160540675,1.3843384035005112e+18,1384338403500511232,Janithdissanay9,1384338403500511232,1384338403500511232,,,,,False,,,,0,1,0,0,1388529740160540675,1388529740160540675,False,False,und,,,,,"{'id': 1388529740160540675, 'id_str': '1388529740160540675'}",
1389492113046388736,Tue May 04 08:08:29 +0000 2021,1389492113046388736,1389492113046388736,@daughterislife @ExcuzeMiii ඔයාද නුවර අයියද නුවර ?,False,"[28, 50]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'daughterislife', 'name': 'මාෂි 🎀🇱🇰', 'id': 2380919498, 'id_str': '2380919498', 'indices': [0, 15]}, {'screen_name': 'ExcuzeMiii', 'name': 'Hamza Haniffa', 'id': 4867064842, 'id_str': '4867064842', 'indices': [16, 27]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3894911785217843e+18,1389491178521784322,2380919498.0,2380919498,daughterislife,2613916794,2613916794,,,,,False,,,,0,1,2,0,1389488660270047237,1389488660270047237,False,False,si,,,,,,
1388703211045806081,Sun May 02 03:53:41 +0000 2021,1388703211045806081,1388703211045806081,@NethmiNavodya2 සුපිරි හොදේ,False,"[16, 27]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'NethmiNavodya2', 'name': 'Nethmi Navodya', 'id': 1385625174939037697, 'id_str': '1385625174939037697', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3884430449537393e+18,1388443044953739264,1.3856251749390377e+18,1385625174939037697,NethmiNavodya2,1363515095070826496,1363515095070826496,,,,,False,,,,0,0,0,0,1388443044953739264,1388443044953739264,False,False,si,,,,,,
1389591286164836355,Tue May 04 14:42:34 +0000 2021,1389591286164836355,1389591286164836355,"@iamgayash @nandanamihindu අන්න ඒකයි fermi paradox කියන්නෙ.  මේක හොඳට පැහැදුලි කරනවා මේ video එකේ. ;) 
ඔය වගේ ඒවට ආසාවක් තියෙනවා නම් මේ චැනල් එක සුපිරි. 😌😊

https://t.co/sqOjQd99Dr",False,"[27, 180]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'iamgayash', 'name': 'ගයාශ් Earthling 🇱🇰', 'id': 201395218, 'id_str': '201395218', 'indices': [0, 10]}, {'screen_name': 'nandanamihindu', 'name': 'ɳαɳԃαɳα (නන්දන) 🇱🇰 🇪🇸 🇺🇲', 'id': 15287607, 'id_str': '15287607', 'indices': [11, 26]}], 'urls': [{'url': 'https://t.co/sqOjQd99Dr', 'expanded_url': 'https://www.youtube.com/watch?v=sNhhvQGsMEc', 'display_url': 'youtube.com/watch?v=sNhhvQ…', 'indices': [157, 180]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3895906138430833e+18,1389590613843083270,234282670.0,234282670,janakact,234282670,234282670,,,,,False,,,,1,4,0,0,1389481810489344007,1389481810489344007,False,False,si,,False,True,"{'name': 'player', 'url': 'https://t.co/sqOjQd99Dr', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'youtube.com', 'scribe_key': 'vanity_url'}, 'player_url': {'type': 'STRING', 'string_value': 'https://www.youtube.com/embed/sNhhvQGsMEc'}, 'app_is_free': {'type': 'STRING', 'string_value': 'true'}, 'app_price_currency': {'type': 'STRING', 'string_value': 'USD'}, 'app_price_amount': {'type': 'STRING', 'string_value': '0.0'}, 'domain': {'type': 'STRING', 'string_value': 'www.youtube.com'}, 'app_num_ratings': {'type': 'STRING', 'string_value': '20,257,901'}, 'app_star_rating': {'type': 'STRING', 'string_value': '4.69319'}, 'app_name': {'type': 'STRING', 'string_value': 'YouTube: Watch, Listen, Stream'}, 'player_width': {'type': 'STRING', 'string_value': '1280'}, 'player_height': {'type': 'STRING', 'string_value': '720'}, 'site': {'type': 'USER', 'user_value': {'id_str': '10228272', 'path': []}, 'scribe_key': 'publisher_id'}, 'title': {'type': 'STRING', 'string_value': 'The Fermi Paradox — Where Are All The Aliens? (1/2)'}, 'description': {'type': 'STRING', 'string_value': 'The universe is unbelievably big – trillions of stars and even more planets. Soo… there just has to be life out there, right? But where is it? Why don’t we s...'}, 'player_image_small': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387161356756037636/AvwRDgiy?format=jpg&name=144x144', 'width': 144, 'height': 108, 'alt': None}}, 'player_image': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387161356756037636/AvwRDgiy?format=jpg&name=280x280', 'width': 280, 'height': 210, 'alt': None}}, 'player_image_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387161356756037636/AvwRDgiy?format=jpg&name=1200x627', 'width': 1200, 'height': 627, 'alt': None}}, 'player_image_x_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387161356756037636/AvwRDgiy?format=png&name=2048x2048_2_exp', 'width': 480, 'height': 360, 'alt': None}}, 'player_image_color': {'type': 'IMAGE_COLOR', 'image_color_value': {'palette': [{'percentage': 47.11, 'rgb': {'red': 4, 'green': 2, 'blue': 5}}, {'percentage': 24.35, 'rgb': {'red': 220, 'green': 99, 'blue': 93}}, {'percentage': 8.06, 'rgb': {'red': 238, 'green': 216, 'blue': 210}}, {'percentage': 7.15, 'rgb': {'red': 69, 'green': 29, 'blue': 65}}, {'percentage': 3.09, 'rgb': {'red': 115, 'green': 27, 'blue': 42}}]}}, 'player_image_original': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387161356756037636/AvwRDgiy?format=jpg&name=orig', 'width': 480, 'height': 360, 'alt': None}}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/sqOjQd99Dr', 'scribe_key': 'card_url'}}, 'users': {'10228272': {'id': 10228272, 'id_str': '10228272', 'name': 'YouTube', 'screen_name': 'YouTube', 'location': 'San Bruno, CA', 'description': 'Like and subscribe.', 'url': 'https://t.co/qkVaJFk2CG', 'entities': {'url': {'urls': [{'url': 'https://t.co/qkVaJFk2CG', 'expanded_url': 'https://www.youtube.com/', 'display_url': 'youtube.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 73250479, 'fast_followers_count': 0, 'normal_followers_count': 73250479, 'friends_count': 1203, 'listed_count': 79222, 'created_at': 'Tue Nov 13 21:43:46 +0000 2007', 'favourites_count': 5511, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 32910, 'media_count': 12491, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': 'AF0000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1308106203860529152/yOwTDF9G_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1308106203860529152/yOwTDF9G_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/10228272/1617285521', 'profile_image_extensions_alt_text': None, 'profile_image_extensions_media_availability': None, 'profile_image_extensions_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 70.88}, {'rgb': {'red': 254, 'green': 0, 'blue': 0}, 'percentage': 27.69}, {'rgb': {'red': 252, 'green': 180, 'blue': 178}, 'percentage': 0.86}, {'rgb': {'red': 254, 'green': 87, 'blue': 90}, 'percentage': 0.37}, {'rgb': {'red': 250, 'green': 132, 'blue': 130}, 'percentage': 0.15}]}, 'profile_image_extensions': {'mediaStats': {'r': {'missing': None}, 'ttl': -1}}, 'profile_banner_extensions_alt_text': None, 'profile_banner_extensions_media_availability': None, 'profile_banner_extensions_media_color': {'palette': [{'rgb': {'red': 211, 'green': 207, 'blue': 223}, 'percentage': 33.39}, {'rgb': {'red': 152, 'green': 179, 'blue': 231}, 'percentage': 8.85}, {'rgb': {'red': 208, 'green': 182, 'blue': 141}, 'percentage': 5.45}, {'rgb': {'red': 221, 'green': 166, 'blue': 186}, 'percentage': 4.34}, {'rgb': {'red': 163, 'green': 201, 'blue': 188}, 'percentage': 3.45}]}, 'profile_banner_extensions': {'mediaStats': {'r': {'missing': None}, 'ttl': -1}}, 'profile_link_color': 'C9191D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'pinned_tweet_ids': [], 'pinned_tweet_ids_str': [], 'has_custom_timelines': True, 'can_dm': False, 'can_media_tag': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'muting': False, 'blocking': False, 'blocked_by': False, 'want_retweets': False, 'advertiser_account_type': 'promotable_user', 'advertiser_account_service_levels': ['dso', 'dso', 'dso', 'dso', 'dso'], 'profile_interstitial_type': '', 'business_profile_state': 'none', 'translator_type': 'regular', 'withheld_in_countries': [], 'followed_by': False, 'ext': {'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}, 'require_some_consent': False}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",,
1387450476090691588,Wed Apr 28 16:55:45 +0000 2021,1387450476090691588,1387450476090691588,@nima_dre සුපිරි කොම්ලො තම්මයි,False,"[10, 30]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nima_dre', 'name': 'Blood Diamond ❄️', 'id': 352931832, 'id_str': '352931832', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3874069587732152e+18,1387406958773215232,352931832.0,352931832,nima_dre,858120680,858120680,,,,,False,,,,0,0,1,0,1387406958773215232,1387406958773215232,False,False,si,,,,,,
1389197395251003396,Mon May 03 12:37:23 +0000 2021,1389197395251003396,1389197395251003396,රනිල්නන් සුපිරි පවක් කරලා තියෙනවා ඌ කරපු දේකවත් Credit එක ඌට නොයන්න. මහින්ද මේක කලා නම් ප්‍රෝජෙක්ට් එක කරන්න දීිපු එකා හොයන්නෙත් නෑ. 😂,False,"[0, 134]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3527562193,3527562193,,,,,True,1.389189770291544e+18,1389189770291544065,"{'url': 'https://t.co/7FfeDmXIX2', 'expanded': 'https://twitter.com/exfrotezter/status/1389189770291544065', 'display': 'twitter.com/exfrotezter/st…'}",0,1,0,0,1389197395251003396,1389197395251003396,False,False,si,,,,,,
1389139090528870402,Mon May 03 08:45:42 +0000 2021,1389139090528870402,1389139090528870402,දැන් නම් වහිනවා. ඒ කියන්නෙත් සුපිරි 🤣,False,"[0, 37]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2288622075,2288622075,,,,,False,,,,0,0,0,0,1389139090528870402,1389139090528870402,False,False,si,,,,,,
1387121787494797313,Tue Apr 27 19:09:40 +0000 2021,1387121787494797313,1387121787494797313,@Alokuayya @nipuna__d ඔයාගෙ එක සුපිරි 😍😍😍 හම්බේ,False,"[22, 47]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Alokuayya', 'name': 'පොඩිනිලමේ', 'id': 2590211726, 'id_str': '2590211726', 'indices': [0, 10]}, {'screen_name': 'nipuna__d', 'name': 'සැන්ඩි 🍀🦇🇱🇰', 'id': 247162345, 'id_str': '247162345', 'indices': [11, 21]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3871198691083633e+18,1387119869108363277,2590211726.0,2590211726,Alokuayya,3591912206,3591912206,,,,,False,,,,0,1,1,0,1386951451780386822,1386951451780386822,False,False,si,,,,,,
1387523192642703360,Wed Apr 28 21:44:42 +0000 2021,1387523192642703360,1387523192642703360,ICON නොමිලේ ගන්න පුලුවන් සුපිරි වෙබ්සයිට් එකක් | How to change a folder ... https://t.co/XQxl3m0T1T via @YouTube,False,"[0, 112]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [104, 112]}], 'urls': [{'url': 'https://t.co/XQxl3m0T1T', 'expanded_url': 'https://youtu.be/sjLcGI7G7Dk', 'display_url': 'youtu.be/sjLcGI7G7Dk', 'indices': [76, 99]}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1343471283216867334,1343471283216867334,,,,,False,,,,0,0,0,0,1387523192642703360,1387523192642703360,False,False,si,,False,True,"{'name': 'player', 'url': 'https://t.co/XQxl3m0T1T', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'youtube.com', 'scribe_key': 'vanity_url'}, 'player_url': {'type': 'STRING', 'string_value': 'https://www.youtube.com/embed/sjLcGI7G7Dk'}, 'app_is_free': {'type': 'STRING', 'string_value': 'true'}, 'app_price_currency': {'type': 'STRING', 'string_value': 'USD'}, 'app_price_amount': {'type': 'STRING', 'string_value': '0.0'}, 'domain': {'type': 'STRING', 'string_value': 'www.youtube.com'}, 'app_num_ratings': {'type': 'STRING', 'string_value': '20,257,901'}, 'app_star_rating': {'type': 'STRING', 'string_value': '4.69319'}, 'app_name': {'type': 'STRING', 'string_value': 'YouTube: Watch, Listen, Stream'}, 'player_width': {'type': 'STRING', 'string_value': '1280'}, 'player_height': {'type': 'STRING', 'string_value': '720'}, 'site': {'type': 'USER', 'user_value': {'id_str': '10228272', 'path': []}, 'scribe_key': 'publisher_id'}, 'title': {'type': 'STRING', 'string_value': 'ICON නොමිලේ ගන්න පුලුවන් සුපිරි වෙබ්සයිට් එකක් | How to change a...'}, 'description': {'type': 'STRING', 'string_value': 'hi friends👏👏👏👏😄😄This Video Is About ICON නොමිලේ ගන්න පුලුවන් සුපිරි වෙබ්සයිට් එකක් | How to change a folder icon👋This video includesThe default folder...'}, 'player_image_small': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387523186678403072/tEef3f08?format=jpg&name=144x144', 'width': 144, 'height': 81, 'alt': None}}, 'player_image': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387523186678403072/tEef3f08?format=jpg&name=280x280', 'width': 280, 'height': 158, 'alt': None}}, 'player_image_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387523186678403072/tEef3f08?format=jpg&name=800x320_1', 'width': 569, 'height': 320, 'alt': None}}, 'player_image_x_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387523186678403072/tEef3f08?format=png&name=2048x2048_2_exp', 'width': 1280, 'height': 720, 'alt': None}}, 'player_image_color': {'type': 'IMAGE_COLOR', 'image_color_value': {'palette': [{'percentage': 61.58, 'rgb': {'red': 33, 'green': 76, 'blue': 175}}, {'percentage': 13.19, 'rgb': {'red': 179, 'green': 197, 'blue': 221}}, {'percentage': 8.53, 'rgb': {'red': 229, 'green': 212, 'blue': 132}}, {'percentage': 6.56, 'rgb': {'red': 103, 'green': 133, 'blue': 188}}, {'percentage': 3.16, 'rgb': {'red': 186, 'green': 187, 'blue': 160}}]}}, 'player_image_original': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1387523186678403072/tEef3f08?format=jpg&name=orig', 'width': 1280, 'height': 720, 'alt': None}}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/XQxl3m0T1T', 'scribe_key': 'card_url'}}, 'users': {'10228272': {'id': 10228272, 'id_str': '10228272', 'name': 'YouTube', 'screen_name': 'YouTube', 'location': 'San Bruno, CA', 'description': 'Like and subscribe.', 'url': 'https://t.co/qkVaJFk2CG', 'entities': {'url': {'urls': [{'url': 'https://t.co/qkVaJFk2CG', 'expanded_url': 'https://www.youtube.com/', 'display_url': 'youtube.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 73250479, 'fast_followers_count': 0, 'normal_followers_count': 73250479, 'friends_count': 1203, 'listed_count': 79222, 'created_at': 'Tue Nov 13 21:43:46 +0000 2007', 'favourites_count': 5511, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 32910, 'media_count': 12491, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': 'AF0000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1308106203860529152/yOwTDF9G_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1308106203860529152/yOwTDF9G_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/10228272/1617285521', 'profile_image_extensions_alt_text': None, 'profile_image_extensions_media_availability': None, 'profile_image_extensions_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 70.88}, {'rgb': {'red': 254, 'green': 0, 'blue': 0}, 'percentage': 27.69}, {'rgb': {'red': 252, 'green': 180, 'blue': 178}, 'percentage': 0.86}, {'rgb': {'red': 254, 'green': 87, 'blue': 90}, 'percentage': 0.37}, {'rgb': {'red': 250, 'green': 132, 'blue': 130}, 'percentage': 0.15}]}, 'profile_image_extensions': {'mediaStats': {'r': {'missing': None}, 'ttl': -1}}, 'profile_banner_extensions_alt_text': None, 'profile_banner_extensions_media_availability': None, 'profile_banner_extensions_media_color': {'palette': [{'rgb': {'red': 211, 'green': 207, 'blue': 223}, 'percentage': 33.39}, {'rgb': {'red': 152, 'green': 179, 'blue': 231}, 'percentage': 8.85}, {'rgb': {'red': 208, 'green': 182, 'blue': 141}, 'percentage': 5.45}, {'rgb': {'red': 221, 'green': 166, 'blue': 186}, 'percentage': 4.34}, {'rgb': {'red': 163, 'green': 201, 'blue': 188}, 'percentage': 3.45}]}, 'profile_banner_extensions': {'mediaStats': {'r': {'missing': None}, 'ttl': -1}}, 'profile_link_color': 'C9191D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'pinned_tweet_ids': [], 'pinned_tweet_ids_str': [], 'has_custom_timelines': True, 'can_dm': False, 'can_media_tag': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'muting': False, 'blocking': False, 'blocked_by': False, 'want_retweets': False, 'advertiser_account_type': 'promotable_user', 'advertiser_account_service_levels': ['dso', 'dso', 'dso', 'dso', 'dso'], 'profile_interstitial_type': '', 'business_profile_state': 'none', 'translator_type': 'regular', 'withheld_in_countries': [], 'followed_by': False, 'ext': {'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}, 'require_some_consent': False}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",,
1388503290678104064,Sat May 01 14:39:16 +0000 2021,1388503290678104064,1388503290678104064,@HandyBuwa අඩෝ සුපිරි අයිඩියා එක 😂,False,"[11, 34]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HandyBuwa', 'name': 'Dilan Dilz Edirisinghe', 'id': 2613916794, 'id_str': '2613916794', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3885030322167808e+18,1388503032216780802,2613916794.0,2613916794,HandyBuwa,407621077,407621077,,,,,False,,,,0,1,1,0,1388503032216780802,1388503032216780802,False,False,si,,,,,,
