,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card
1190200298184138752,Fri Nov 01 09:33:58 +0000 2019,1190200298184138752,1190200298184138752,@lankacnews මමත් නම් ගෝඨා ට දෙන්නේ.. ඒත් පල පකයා බොරු නොකියා 😂😂🖕,False,"[12, 64]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lankacnews', 'name': 'lanka C news', 'id': 230640891, 'id_str': '230640891', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1899524350049485e+18,1189952435004948480,230640891.0,230640891,lankacnews,1151695142446718976,1151695142446718976,,,,,False,0,4,0,0,1189952435004948480,1189952435004948480,False,False,si,,,,,,,,,
1200305710971551745,Fri Nov 29 06:49:16 +0000 2019,1200305710971551745,1200305710971551745,Porn Addict එකෙක් හදුනා ගන්නා ආකාරය https://t.co/f7VT6SSzTr,False,"[0, 35]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1200305695662305285, 'id_str': '1200305695662305285', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EKhXq7PUcAUpA9M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKhXq7PUcAUpA9M.jpg', 'url': 'https://t.co/f7VT6SSzTr', 'display_url': 'pic.twitter.com/f7VT6SSzTr', 'expanded_url': 'https://twitter.com/qAzithen/status/1200305710971551745/photo/1', 'type': 'photo', 'original_info': {'width': 719, 'height': 406, 'focus_rects': [{'x': 0, 'y': 0, 'h': 403, 'w': 719}, {'x': 102, 'y': 0, 'h': 406, 'w': 406}, {'x': 127, 'y': 0, 'h': 406, 'w': 356}, {'x': 204, 'y': 0, 'h': 406, 'w': 203}, {'x': 0, 'y': 0, 'h': 406, 'w': 719}]}, 'sizes': {'large': {'w': 719, 'h': 406, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 719, 'h': 406, 'resize': 'fit'}, 'small': {'w': 680, 'h': 384, 'resize': 'fit'}}, 'features': {'large': {'faces': [{'x': 278, 'y': 24, 'h': 74, 'w': 74}]}, 'medium': {'faces': [{'x': 278, 'y': 24, 'h': 74, 'w': 74}]}, 'small': {'faces': [{'x': 262, 'y': 22, 'h': 69, 'w': 69}]}, 'orig': {'faces': [{'x': 278, 'y': 24, 'h': 74, 'w': 74}]}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1117021610618310656,1117021610618310656,,,,,False,5,46,9,0,1200305710971551745,1200305710971551745,False,False,si,,"{'media': [{'id': 1200305695662305285, 'id_str': '1200305695662305285', 'indices': [36, 59], 'media_url': 'http://pbs.twimg.com/media/EKhXq7PUcAUpA9M.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EKhXq7PUcAUpA9M.jpg', 'url': 'https://t.co/f7VT6SSzTr', 'display_url': 'pic.twitter.com/f7VT6SSzTr', 'expanded_url': 'https://twitter.com/qAzithen/status/1200305710971551745/photo/1', 'type': 'photo', 'original_info': {'width': 719, 'height': 406, 'focus_rects': [{'x': 0, 'y': 0, 'h': 403, 'w': 719}, {'x': 102, 'y': 0, 'h': 406, 'w': 406}, {'x': 127, 'y': 0, 'h': 406, 'w': 356}, {'x': 204, 'y': 0, 'h': 406, 'w': 203}, {'x': 0, 'y': 0, 'h': 406, 'w': 719}]}, 'sizes': {'large': {'w': 719, 'h': 406, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 719, 'h': 406, 'resize': 'fit'}, 'small': {'w': 680, 'h': 384, 'resize': 'fit'}}, 'features': {'large': {'faces': [{'x': 278, 'y': 24, 'h': 74, 'w': 74}]}, 'medium': {'faces': [{'x': 278, 'y': 24, 'h': 74, 'w': 74}]}, 'small': {'faces': [{'x': 262, 'y': 22, 'h': 69, 'w': 69}]}, 'orig': {'faces': [{'x': 278, 'y': 24, 'h': 74, 'w': 74}]}}, 'media_key': '3_1200305695662305285', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 194, 'green': 189, 'blue': 179}, 'percentage': 67.05}, {'rgb': {'red': 129, 'green': 123, 'blue': 123}, 'percentage': 10.96}, {'rgb': {'red': 116, 'green': 70, 'blue': 54}, 'percentage': 8.66}, {'rgb': {'red': 47, 'green': 49, 'blue': 54}, 'percentage': 6.79}, {'rgb': {'red': 124, 'green': 31, 'blue': 56}, 'percentage': 2.75}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",True,True,,,,,
1320248451083333633,Sun Oct 25 06:18:54 +0000 2020,1320248451083333633,1320248451083333633,@maalupaan මේ පකයා ලංකාවට ඇවිල්ලා අපිට කීයක් වත් දෙන්නෙ නෑ නෙ,False,"[11, 61]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.320248219817988e+18,1320248219817988096,4632654077.0,4632654077,maalupaan,246224922,246224922,,,,,False,0,0,1,0,1320247516634308608,1320247516634308608,False,False,si,,,,,,,,,
1348615482316738560,Mon Jan 11 12:59:21 +0000 2021,1348615482316738560,1348615482316738560,Oh! The irony! පකයා!! 😭,False,"[0, 23]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,360628853,360628853,,,,,True,0,2,0,0,1348615482316738560,1348615482316738560,False,False,en,,,,,1.3297554634712064e+18,1329755463471206400,"{'url': 'https://t.co/cWcqdZkLo4', 'expanded': 'https://twitter.com/NewsfirstSL/status/1329755463471206400', 'display': 'twitter.com/NewsfirstSL/st…'}",,
1176744587676672000,Wed Sep 25 06:25:47 +0000 2019,1176744587676672000,1176744587676672000,@rusiya_ @ohThatBrokeKid භූගත පකයා 😂,False,"[25, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'rusiya_', 'name': 'රුසියා 🇱🇰', 'id': 407621077, 'id_str': '407621077', 'indices': [0, 8]}, {'screen_name': 'ohThatBrokeKid', 'name': 'ගින්නා 🚀 is gone for a while', 'id': 1742620412, 'id_str': '1742620412', 'indices': [9, 24]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1767368915818168e+18,1176736891581816832,407621077.0,407621077,rusiya_,1146827870724997120,1146827870724997120,,,,,False,0,1,0,0,1176736891581816832,1176736891581816832,False,False,si,,,,,,,,,
1289906649147179014,Sun Aug 02 12:51:25 +0000 2020,1289906649147179014,1289906649147179014,තව බෝම්බ ආයිත් සහරාන්ලාට කියලා කෙලවගන්න. මතකයි මූ කිව්වේ ලමයි හම්බුවෙන වාට්ටුවක ලෙඩෙක් බලන්න ගියාම ඒ වාට්ටුවේ හිටපු බෝම්බ හදලා තුවාලවෙලා හිටපු  සහරාන්ගේ මල්ලි රිල්වාන් දැකලා කතා කලා කියලා.රිල්වාන්ට බබාලා හම්බුවෙන කතා බබ්බුන්ට කියන්න හකීම් නානා. ගෙදර  අරින්න මූව @Rauff_Hakeem,False,"[0, 275]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rauff_Hakeem', 'name': 'Rauff Hakeem', 'id': 4763725522, 'id_str': '4763725522', 'indices': [262, 275]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,722930083858505732,722930083858505732,,,,,True,2,10,6,1,1289906649147179014,1289906649147179014,False,False,si,,,,,1.2897673249547223e+18,1289767324954722305,"{'url': 'https://t.co/eRZjgGKtkz', 'expanded': 'https://twitter.com/ihshaniqbal/status/1289767324954722305', 'display': 'twitter.com/ihshaniqbal/st…'}","{'id': 1289906649147179014, 'id_str': '1289906649147179014'}",
1308996401427353601,Thu Sep 24 05:07:16 +0000 2020,1308996401427353601,1308996401427353601,@qAzithen පකයා https://t.co/o2BFhET0gT,False,"[10, 14]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'qAzithen', 'name': 'SAHAN™ 🇱🇰', 'id': 1117021610618310656, 'id_str': '1117021610618310656', 'indices': [0, 9]}], 'urls': [], 'media': [{'id': 1308996398415859712, 'id_str': '1308996398415859712', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/media/Eip9SfvX0AAl0FI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eip9SfvX0AAl0FI.jpg', 'url': 'https://t.co/o2BFhET0gT', 'display_url': 'pic.twitter.com/o2BFhET0gT', 'expanded_url': 'https://twitter.com/Ranindu_/status/1308996401427353601/photo/1', 'type': 'photo', 'original_info': {'width': 666, 'height': 402, 'focus_rects': [{'x': 0, 'y': 0, 'h': 373, 'w': 666}, {'x': 82, 'y': 0, 'h': 402, 'w': 402}, {'x': 107, 'y': 0, 'h': 402, 'w': 353}, {'x': 183, 'y': 0, 'h': 402, 'w': 201}, {'x': 0, 'y': 0, 'h': 402, 'w': 666}]}, 'sizes': {'medium': {'w': 666, 'h': 402, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 666, 'h': 402, 'resize': 'fit'}, 'large': {'w': 666, 'h': 402, 'resize': 'fit'}}, 'features': {'medium': {'faces': []}, 'orig': {'faces': []}, 'small': {'faces': []}, 'large': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3089960030607483e+18,1308996003060748288,1.1170216106183107e+18,1117021610618310656,qAzithen,1015323417392771072,1015323417392771072,,,,,False,0,1,0,0,1308994802957070341,1308994802957070341,False,False,si,,"{'media': [{'id': 1308996398415859712, 'id_str': '1308996398415859712', 'indices': [15, 38], 'media_url': 'http://pbs.twimg.com/media/Eip9SfvX0AAl0FI.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eip9SfvX0AAl0FI.jpg', 'url': 'https://t.co/o2BFhET0gT', 'display_url': 'pic.twitter.com/o2BFhET0gT', 'expanded_url': 'https://twitter.com/Ranindu_/status/1308996401427353601/photo/1', 'type': 'photo', 'original_info': {'width': 666, 'height': 402, 'focus_rects': [{'x': 0, 'y': 0, 'h': 373, 'w': 666}, {'x': 82, 'y': 0, 'h': 402, 'w': 402}, {'x': 107, 'y': 0, 'h': 402, 'w': 353}, {'x': 183, 'y': 0, 'h': 402, 'w': 201}, {'x': 0, 'y': 0, 'h': 402, 'w': 666}]}, 'sizes': {'medium': {'w': 666, 'h': 402, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 666, 'h': 402, 'resize': 'fit'}, 'large': {'w': 666, 'h': 402, 'resize': 'fit'}}, 'features': {'medium': {'faces': []}, 'orig': {'faces': []}, 'small': {'faces': []}, 'large': {'faces': []}}, 'media_key': '3_1308996398415859712', 'ext_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 92.22}, {'rgb': {'red': 2, 'green': 2, 'blue': 2}, 'percentage': 6.1}, {'rgb': {'red': 118, 'green': 118, 'blue': 118}, 'percentage': 2.08}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,
1206991607553122304,Tue Dec 17 17:36:38 +0000 2019,1206991607553122304,1206991607553122304,කෞදෞත්තො මහ රැ කරන්ට් කපන පකයා? 😢👉👌 #දෙමටගොඩ — feeling annoyed,False,"[0, 62]","{'hashtags': [{'text': 'දෙමටගොඩ', 'indices': [36, 44]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,416852441,416852441,,,,,False,0,0,0,0,1206991607553122304,1206991607553122304,False,False,si,,,,,,,,,
1358248243575029763,Sun Feb 07 02:56:30 +0000 2021,1358248243575029763,1358248243575029763,"පළවෙනියට කෝවිඩ් ගැන කියාපු චීනේ Dr. Li Wenliang මහත්තයා මැරිලා අදට අවුරුද්දයී. ඒ උත්තමයට නිවන් සුව ප්‍රාර්ථනා කරනවා. එයාව හිරේ දාලා, ලෝකෙට පච කියලා, අපි හැමෝවම අමාරුවට දාපු ශී ජින්පින් පකයා ලබන ආත්මේ කොකු පනුවෙක් වෙලා ඉපදෙන්න කියලා පතනවා. https://t.co/7Y8aPR0vY4",False,"[0, 238]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1358245582645694466, 'id_str': '1358245582645694466', 'indices': [239, 262], 'media_url': 'http://pbs.twimg.com/media/Etl1KT9XEAIsvAT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Etl1KT9XEAIsvAT.jpg', 'url': 'https://t.co/7Y8aPR0vY4', 'display_url': 'pic.twitter.com/7Y8aPR0vY4', 'expanded_url': 'https://twitter.com/KOTTANOFFICIAL/status/1358248243575029763/photo/1', 'type': 'photo', 'original_info': {'width': 1200, 'height': 720, 'focus_rects': [{'x': 0, 'y': 0, 'h': 672, 'w': 1200}, {'x': 0, 'y': 0, 'h': 720, 'w': 720}, {'x': 14, 'y': 0, 'h': 720, 'w': 632}, {'x': 150, 'y': 0, 'h': 720, 'w': 360}, {'x': 0, 'y': 0, 'h': 720, 'w': 1200}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 408, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 421, 'y': 541, 'h': 79, 'w': 79}]}, 'large': {'faces': [{'x': 421, 'y': 541, 'h': 79, 'w': 79}]}, 'medium': {'faces': [{'x': 421, 'y': 541, 'h': 79, 'w': 79}]}, 'small': {'faces': [{'x': 238, 'y': 306, 'h': 44, 'w': 44}]}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1269375633886449664,1269375633886449664,,,,,False,2,19,0,0,1358248243575029763,1358248243575029763,False,False,si,,"{'media': [{'id': 1358245582645694466, 'id_str': '1358245582645694466', 'indices': [239, 262], 'media_url': 'http://pbs.twimg.com/media/Etl1KT9XEAIsvAT.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Etl1KT9XEAIsvAT.jpg', 'url': 'https://t.co/7Y8aPR0vY4', 'display_url': 'pic.twitter.com/7Y8aPR0vY4', 'expanded_url': 'https://twitter.com/KOTTANOFFICIAL/status/1358248243575029763/photo/1', 'type': 'photo', 'original_info': {'width': 1200, 'height': 720, 'focus_rects': [{'x': 0, 'y': 0, 'h': 672, 'w': 1200}, {'x': 0, 'y': 0, 'h': 720, 'w': 720}, {'x': 14, 'y': 0, 'h': 720, 'w': 632}, {'x': 150, 'y': 0, 'h': 720, 'w': 360}, {'x': 0, 'y': 0, 'h': 720, 'w': 1200}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1200, 'h': 720, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 720, 'resize': 'fit'}, 'small': {'w': 680, 'h': 408, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 421, 'y': 541, 'h': 79, 'w': 79}]}, 'large': {'faces': [{'x': 421, 'y': 541, 'h': 79, 'w': 79}]}, 'medium': {'faces': [{'x': 421, 'y': 541, 'h': 79, 'w': 79}]}, 'small': {'faces': [{'x': 238, 'y': 306, 'h': 44, 'w': 44}]}}, 'media_key': '3_1358245582645694466', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 172, 'green': 165, 'blue': 155}, 'percentage': 55.38}, {'rgb': {'red': 134, 'green': 93, 'blue': 75}, 'percentage': 13.91}, {'rgb': {'red': 66, 'green': 50, 'blue': 42}, 'percentage': 11.44}, {'rgb': {'red': 127, 'green': 115, 'blue': 95}, 'percentage': 4.76}, {'rgb': {'red': 34, 'green': 120, 'blue': 120}, 'percentage': 4.04}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,
1292782312313085953,Mon Aug 10 11:18:16 +0000 2020,1292782312313085953,1292782312313085953,"@Lakshan67677014 @UPGammanpila අනේ පලයං ඡාතිවාදි කැරි බල්ලෝ...
අලිසබ්රි නැත්තම් ගෝටාබයට ඡන්ද අපේක්ෂත්වය පවා නැතිවෙන්න තිබ්බා...
තොපි වගේ සිංහල ඡාතිවාදි නිසා රටම විනාෂයි...
පකයා",False,"[31, 176]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Lakshan67677014', 'name': 'Lakshan perera', 'id': 1162908867681894400, 'id_str': '1162908867681894400', 'indices': [0, 16]}, {'screen_name': 'UPGammanpila', 'name': 'Udaya Gammanpila', 'id': 2547563576, 'id_str': '2547563576', 'indices': [17, 30]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2927024443637596e+18,1292702444363759622,1.1629088676818944e+18,1162908867681894400,Lakshan67677014,1056807289342967808,1056807289342967808,,,,,False,0,1,2,0,1292698850931556352,1292698850931556352,False,False,si,,,,,,,,,
1230471059486306305,Thu Feb 20 12:35:36 +0000 2020,1230471059486306305,1230471059486306305,@Vishwas500 @SGRathnayaka1 පකයෝ ෆේක් ගහන්නේ නෑ... වරෙන් ඔරිජනල් එකෙන් කැරි පකයා... හුකෝලා ගන්නේ තොපිට...,False,"[27, 104]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Vishwas500', 'name': 'Vishwas', 'id': 1215651194288398337, 'id_str': '1215651194288398337', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2304687772482724e+18,1230468777248272384,1.2156511942883983e+18,1215651194288398337,Vishwas500,1196374198408450048,1196374198408450048,,,,,False,0,0,1,0,1230462367609303041,1230462367609303041,False,False,si,,,,,,,,,
1262971363603566592,Wed May 20 05:00:12 +0000 2020,1262971363603566592,1262971363603566592,"සබඳ අපි නොවෙමු
අනුන් පකයා නැගෙන 💪✌️",False,"[0, 35]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,4691793109,4691793109,,,,,False,0,17,2,0,1262971363603566592,1262971363603566592,False,False,si,,,,,,,,,
1160512753251049472,Sun Aug 11 11:26:16 +0000 2019,1160512753251049472,1160512753251049472,එතකොට පකයා කලින් යාලු වෙලා හිටියේ ගෝපි එක්ක ද? 🤔🤔🤔,False,"[0, 50]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,4531982057,4531982057,,,,,True,0,10,0,0,1160512753251049472,1160512753251049472,False,False,si,,,,,1.1603828943694684e+18,1160382894369468416,"{'url': 'https://t.co/ZAvvol5qYP', 'expanded': 'https://twitter.com/BasnayakageGopi/status/1160382894369468416', 'display': 'twitter.com/BasnayakageGop…'}",,
1331690702644932618,Wed Nov 25 20:06:19 +0000 2020,1331690702644932618,1331690702644932618,"Word! What say you Mr Speaker? 
පකයා no problem ලොක්කා no good?

@YapaMahinda @ChameeraY @PasandaYapa @ParliamentLK",False,"[0, 115]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YapaMahinda', 'name': 'Mahinda Yapa Abeywardana', 'id': 1234782199813156864, 'id_str': '1234782199813156864', 'indices': [65, 77]}, {'screen_name': 'ChameeraY', 'name': 'Chameera Yapa', 'id': 3018313398, 'id_str': '3018313398', 'indices': [78, 88]}, {'screen_name': 'PasandaYapa', 'name': 'Pasanda Yapa', 'id': 2304421771, 'id_str': '2304421771', 'indices': [89, 101]}, {'screen_name': 'ParliamentLK', 'name': 'Parliament of Sri Lanka', 'id': 1595096221, 'id_str': '1595096221', 'indices': [102, 115]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1170970905117437952,1170970905117437952,,,,,True,1,4,0,0,1331690702644932618,1331690702644932618,False,False,en,,,,,1.3315620409644646e+18,1331562040964464640,"{'url': 'https://t.co/ss2M4Iccnm', 'expanded': 'https://twitter.com/MaheshNegombo/status/1331562040964464640', 'display': 'twitter.com/MaheshNegombo/…'}",,
1300537572100173824,Mon Aug 31 20:54:54 +0000 2020,1300537572100173824,1300537572100173824,@DananjayaPrabod ක්‍රශ් එකක් වෙන්න කලින් බලපන් පොල් කට්ටක් පිරෙන්න හුජ්ජ කරගන්න පුලුවන්ද කියලා,False,"[17, 94]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'DananjayaPrabod', 'name': '🇵 🇷 🇦 🇧 🇴 🇩 (DANA)', 'id': 1165890563897470976, 'id_str': '1165890563897470976', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3003466183155507e+18,1300346618315550721,1.165890563897471e+18,1165890563897470976,DananjayaPrabod,1196374198408450048,1196374198408450048,,,,,False,0,2,1,0,1300346618315550721,1300346618315550721,False,False,si,,,,,,,,,
1178324742677381125,Sun Sep 29 15:04:45 +0000 2019,1178324742677381125,1178324742677381125,@MaheshNegombo @indika27 පකයා නොවුනත් මේ වෙලාවේ ටෙස්ට් කරන්න ඡන්දෙ පාවිච්චි කරන්න බෑ මටනම්. ඇරත් මේ මහා කලු සිංහයා කියන හාදයව මන් අප්‍රේල් 21 ට කලින් අහලා තිබ්බෙත් නෑ. අපේ පවුලේ අයවත් හමුදාපතිව හිටියේ මූද කියලා දැනන් හිටියේ නෑ 🤭🙏,False,"[25, 229]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaheshNegombo', 'name': 'Mahesh Madusanka', 'id': 189878124, 'id_str': '189878124', 'indices': [0, 14]}, {'screen_name': 'indika27', 'name': 'Amila Chathuranga', 'id': 150624162, 'id_str': '150624162', 'indices': [15, 24]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.178259277082837e+18,1178259277082836992,189878124.0,189878124,MaheshNegombo,793373731984990208,793373731984990208,,,,,False,0,2,0,0,1178259277082836992,1178259277082836992,False,False,si,,,,,,,,,
1185921308711772161,Sun Oct 20 14:10:48 +0000 2019,1185921308711772161,1185921308711772161,@VimukthiWa පලයන් පකයා යන්ඩ.. උඹ කාගෙද බන් 😂😂🖕,False,"[12, 46]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'VimukthiWA', 'name': 'Vimu', 'id': 1131178086551044096, 'id_str': '1131178086551044096', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1855963564186542e+18,1185596356418654208,8.574681135913247e+17,857468113591324672,Vimukthi_93,1151695142446718976,1151695142446718976,,,,,False,0,3,0,0,1185596356418654208,1185596356418654208,False,False,si,,,,,,,,,
1326885007605059592,Thu Nov 12 13:50:12 +0000 2020,1326885007605059592,1326885007605059592,"@the_aqeela Damn

පකයා lookin 🔥🔥",False,"[12, 32]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3268612055421133e+18,1326861205542113282,1.1211901690241147e+18,1121190169024114688,the_qeels,184377853,184377853,,,,,False,0,1,1,0,1326861205542113282,1326861205542113282,False,False,en,,,,,,,,,
1248610639943069700,Fri Apr 10 13:55:49 +0000 2020,1248610639943069700,1248610639943069700,"මැකොට යවපු ලියුමෙ සාරාංශය 

  ""මම මේ ඔලුව ගිනිඅරං ඉන්නවා. ඒ අස්සෙ ඡන්දෙ දවසත් මමද කියන්න ඕනෙ.තෝ තීරණය කරපිය ඒක ගොං පකයා"" 🤣🤣🤣
#lk #lka #lkfun",False,"[0, 140]","{'hashtags': [{'text': 'lk', 'indices': [125, 128]}, {'text': 'lka', 'indices': [129, 133]}, {'text': 'lkfun', 'indices': [134, 140]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,501794846,501794846,,,,,False,0,3,0,0,1248610639943069700,1248610639943069700,False,False,si,,,,,,,,,
